Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Badge (product.metafields.custom.badge),Emotional Axes (product.metafields.custom.emotional_axes),Focus Keyword (product.metafields.custom.focus_keyword),Highlights (product.metafields.custom.highlights),SEO Keywords (product.metafields.custom.seo_keywords),Shipping Note (product.metafields.custom.shipping_note),Short Description (product.metafields.custom.short_description),Trust Badges (product.metafields.custom.trust_badges),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Has SEO Tags (product.metafields.seo.has_seo_tags),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Hair type (product.metafields.shopify.hair-type),Hold level (product.metafields.shopify.hold-level),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Moisturizer type (product.metafields.shopify.moisturizer-type),Product form (product.metafields.shopify.product-form),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Skin care effect (product.metafields.shopify.skin-care-effect),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"Ouhoe Moisturizing And Protective Cream, A Double Action Moisturizing And Protective Cream That Protects Light Texture And Enhances Skin Hydration All Day Long","<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",eprolo,,,,true,color,default title,,,,,,,,OUA05-A139-50-WH1,96.0,shopify,continue,manual,23.10,29.987499999999997,true,true,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/C3598981CE7D473F4D8769A3A98E4780.jpg?v=1770075413,1,"Ouhoe Moisturizing And Protective Cream, A Double Action Moisturizing And Protective Cream That Protects Light Texture And Enhances Skin Hydration All Day Long product image",false,"Ouhoe Moisturizing And Protective Cream, A Double Action Moisturizing And Protective Cream That Protects Light Texture And Enhances Skin Hydration All Day Long | luxury","Ouhoe Moisturizing And Protective Cream, A Double Action Moisturizing And Protective Cream That Protects Light Texture And Enhances Skin Hydration All Day Long ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/C3598981CE7D473F4D8769A3A98E4780.jpg?v=1770075413,g,,3.80,active
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/EB5C9045F7837B41D9922DDE4AAE0DF9.jpg?v=1770075415,2,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/5464BFB95D04090D874F4F5EA0A38F51.jpg?v=1770075417,3,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/FDE50E33F3F1C330271DA1B7EAF54836.jpg?v=1770075419,4,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/F73569331610E057F0468CAB97A8F822.jpg?v=1770075422,5,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,,,,,,,,,,,,,,,24.987499999999997,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7177/2898/files/98FE5564038ED7BC8CE86C71EF34F459.jpg?v=1770075424,6,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 product image,,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1 | luxury,ouhoe-moisturizing-and-protective-cream-a-double-action-moisturizing-and-protective-cream-that-protects-light-texture-and-enhances-skin-hydration-all-day-long-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouhoe-neck-moisturizer-hydrating-hydrating-purifying-and-firming-care-for-neck-skin,Hydrating Neck Firming Cream,"<p>beauty, dropsure, eprolo, runCode.tagsToAdd, skincare introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,Health & Beauty > Personal Care > Cosmetics > Skin Care > Anti-Aging Skin Care,,,true,Title,Default Title,,,,,,,,ZIQ68,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,16.99,21.237499999999997,true,true,,,,,,,,Hydrating Neck Firming Cream product image,false,Hydrating Neck Firming Cream | luxury,Hydrating Neck Firming Cream — a luxury-focused essential designed for modern routines.,2592,,,,,,,,,,,,,,,,,,,,,retinol,,,,,retinol,,,,,all-day,cream,,,firming; hydrating; moisturizing; protection,all-skin-types,,,,,,,lb,,10.64,active
jaysuing-surprise-girls-makeup-care-set-moisturizing-moisturizing-skincare-facial-makeup-set,"Jaysuing Surprise Girls Makeup & Care Set, Moisturizing & Moisturizing Skincare & Facial Makeup Set","<p>beauty, beautyset, dropsure, eprolo, runCode.tagsToAdd, Under 50 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,Uncategorized,,,true,Title,Default Title,,,,,,,,LKO92,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,29.99,37.4875,true,true,,,,,,,,"Jaysuing Surprise Girls Makeup & Care Set, Moisturizing & Moisturizing Skincare & Facial Makeup Set product image",false,"Jaysuing Surprise Girls Makeup & Care Set, Moisturizing & Moisturizing Skincare & Facial Makeup Set | luxury","Jaysuing Surprise Girls Makeup & Care Set, Moisturizing & Moisturizing Skincare & Facial Makeup Set — a luxury-focused essential designed for modern routines.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
fresh-jasmines-perfume,Fresh Jasmines Perfume,"<p>beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 50 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,,,,true,Title,Default Title,,,,,,,,JUB45,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,27.99,34.9875,true,true,,,,,,,,Fresh Jasmines Perfume product image,false,Fresh Jasmines Perfume | luxury,Fresh Jasmines Perfume — a luxury-focused essential designed for modern routines.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
roxelis-rose-essential-oil-fragrance-water-pheromone-dating-partner-fragrance-lasting-lasting-couple-atmosphere-charm-perfume,Roxelis Rose Essential Oil Fragrance Water Pheromone Dating Partner Fragrance Lasting Lasting Couple Atmosphere Charm Perfume,"<p>beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,,,,true,Title,Default Title,,,,,,,,NJE99,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,24.99,31.237499999999997,true,true,,,,,,,,Roxelis Rose Essential Oil Fragrance Water Pheromone Dating Partner Fragrance Lasting Lasting Couple Atmosphere Charm Perfume product image,false,Roxelis Rose Essential Oil Fragrance Water Pheromone Dating Partner Fragrance Lasting Lasting Couple Atmosphere Charm Perfume | luxury,Roxelis Rose Essential Oil Fragrance Water Pheromone Dating Partner Fragrance Lasting Lasting Couple Atmosphere Charm Perfume — a luxury-focused essential desig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
jaysuing-earthly-rose-perfume-light-fragrance-natural-clear-new-oriental-fragrance-of-high-grade-elegant-lady-lasting-fragrance,"Jaysuing Earthly Rose Perfume, Light Fragrance Natural Clear New Oriental Fragrance Of High-Grade Elegant Lady Lasting Fragrance","<p>beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,,,,true,Title,Default Title,,,,,,,,WXX09,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,23.99,29.987499999999997,true,true,,,,,,,,"Jaysuing Earthly Rose Perfume, Light Fragrance Natural Clear New Oriental Fragrance Of High-Grade Elegant Lady Lasting Fragrance product image",false,"Jaysuing Earthly Rose Perfume, Light Fragrance Natural Clear New Oriental Fragrance Of High-Grade Elegant Lady Lasting Fragrance | luxury","Jaysuing Earthly Rose Perfume, Light Fragrance Natural Clear New Oriental Fragrance Of High-Grade Elegant Lady Lasting Fragrance — a luxury-focused essential de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
roxelis-prolactin-perfume-fresh-light-fragrance-lasting-fragrance-mild-not-pungent-elegant-ladies-dating-niche-perfume,"Roxelis Prolactin Perfume, Fresh Light Fragrance Lasting Fragrance Mild Not Pungent Elegant Ladies Dating Niche Perfume","<p>7.36beauty, beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",Dropsure,,,,true,Title,Default Title,,,,,,,,HYC02,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,21.99,27.487499999999997,true,true,,,,,,,,"Roxelis Prolactin Perfume, Fresh Light Fragrance Lasting Fragrance Mild Not Pungent Elegant Ladies Dating Niche Perfume product image",false,"Roxelis Prolactin Perfume, Fresh Light Fragrance Lasting Fragrance Mild Not Pungent Elegant Ladies Dating Niche Perfume | luxury","Roxelis Prolactin Perfume, Fresh Light Fragrance Lasting Fragrance Mild Not Pungent Elegant Ladies Dating Niche Perfume — a luxury-focused essential designed fo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
dreadlocks-gel-wax-long-lasting-moisture-dreadlocks-natural-shine-styling-gel-wax,Dreadlocks Gel Wax Long Lasting Moisture Dreadlocks Natural Shine Styling Gel Wax,"<p>beauty, eprolo, haircare, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",eprolo,,,,true,color,default title,,,,,,,,EEA01-A002-50-YE1,89.0,shopify,continue,manual,15.99,19.9875,true,true,,,,,,,,Dreadlocks Gel Wax Long Lasting Moisture Dreadlocks Natural Shine Styling Gel Wax product image,false,Dreadlocks Gel Wax Long Lasting Moisture Dreadlocks Natural Shine Styling Gel Wax | luxury,Dreadlocks Gel Wax Long Lasting Moisture Dreadlocks Natural Shine Styling Gel Wax — a luxury-focused essential designed for modern routines.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,4.96,active
ouhoe-shampoo-and-conditioner-soap-square-red-cleanses-hair-moisturizes-scalp-repairs-damaged-hair-reduces-hair-loss-and-strengthens-hair,"OUHOE Shampoo And Conditioner Soap (Square Red) Cleanses Hair, Moisturizes Scalp, Repairs Damaged Hair, Reduces Hair Loss And Strengthens Hair","<p>beauty, eprolo, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",eprolo,,,,true,specification,Square red,,,,,,,,OU04221211-100g方形红,134.0,shopify,continue,manual,22.01,28.737499999999997,true,true,,,,,,,,"OUHOE Shampoo And Conditioner Soap (Square Red) Cleanses Hair, Moisturizes Scalp, Repairs Damaged Hair, Reduces Hair Loss And Strengthens Hair product image",false,"OUHOE Shampoo And Conditioner Soap (Square Red) Cleanses Hair, Moisturizes Scalp, Repairs Damaged Hair, Reduces Hair Loss And Strengthens Hair | luxury","OUHOE Shampoo And Conditioner Soap (Square Red) Cleanses Hair, Moisturizes Scalp, Repairs Damaged Hair, Reduces Hair Loss And Strengthens Hair — a luxury-focuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,4.96,active
imagic-14-color-matte-nude-eye-shadow-pallete-cosmetics,IMAGIC  14 Color Matte Nude Eye Shadow Pallete Cosmetics,"<p>beauty, eprolo, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",eprolo,,,,true,Title,Default Title,,,,,,,,02C2E027A6D24EFF86AB46C9B9E573FA,200.0,shopify,continue,manual,20.31,26.237499999999997,true,true,,,,,,,,IMAGIC  14 Color Matte Nude Eye Shadow Pallete Cosmetics product image,false,IMAGIC  14 Color Matte Nude Eye Shadow Pallete Cosmetics | luxury,IMAGIC  14 Color Matte Nude Eye Shadow Pallete Cosmetics — a luxury-focused essential designed for modern routines.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.10,active
imagic-lipstick-palette-lasting-natural-beauty-makeup-pigment-cosmetic-set-waterproof,IMAGIC lipstick Palette lasting natural beauty makeup Pigment Cosmetic Set Waterproof,"<p>beauty, eprolo, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",eprolo,,,,true,Color,Army Green,,,,,,,,9AC63C40B746437CAB4E50959FB930E4,100.0,shopify,continue,manual,17.45,22.487499999999997,true,true,,,,,,,,IMAGIC lipstick Palette lasting natural beauty makeup Pigment Cosmetic Set Waterproof product image,false,IMAGIC lipstick Palette lasting natural beauty makeup Pigment Cosmetic Set Waterproof | luxury,IMAGIC lipstick Palette lasting natural beauty makeup Pigment Cosmetic Set Waterproof — a luxury-focused essential designed for modern routines.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,4.93,active
music-flower-brand-makeup-eyeliner-gel-eyebrow-powder-palette-waterproof-lasting-smudgeproof-cosmetics-eye-brow-enhancers,Music Flower Brand Makeup Eyeliner Gel & Eyebrow Powder Palette Waterproof Lasting Smudgeproof Cosmetics Eye Brow Enhancers,"<p>beauty, eprolo, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",eprolo,,,,true,Color,Black,,,,,,,,26455488801440C4A92B5E38776BC89A,300.0,shopify,continue,manual,19.89,24.987499999999997,true,true,,,,,,,,Music Flower Brand Makeup Eyeliner Gel & Eyebrow Powder Palette Waterproof Lasting Smudgeproof Cosmetics Eye Brow Enhancers product image,false,Music Flower Brand Makeup Eyeliner Gel & Eyebrow Powder Palette Waterproof Lasting Smudgeproof Cosmetics Eye Brow Enhancers | luxury,Music Flower Brand Makeup Eyeliner Gel & Eyebrow Powder Palette Waterproof Lasting Smudgeproof Cosmetics Eye Brow Enhancers — a luxury-focused essential designe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.00,active
music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,Music Flower Brand 6 Color Shimmer Liquid Eyeliner Pen Brightening Eyes Makeup Eye Liner Pencil Waterproof Quick Drying Eyelid,"<p>beauty, eprolo, runCode.tagsToAdd, Under 25 introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",eprolo,,,,true,Title,01,,,,,,,,8A6F261E861645FF924A32A68A7F7EE5,50.0,shopify,continue,manual,11.89,14.9875,true,true,,,,,,,,Music Flower Brand 6 Color Shimmer Liquid Eyeliner Pen Brightening Eyes Makeup Eye Liner Pencil Waterproof Quick Drying Eyelid product image,false,Music Flower Brand 6 Color Shimmer Liquid Eyeliner Pen Brightening Eyes Makeup Eye Liner Pencil Waterproof Quick Drying Eyelid | luxury,Music Flower Brand 6 Color Shimmer Liquid Eyeliner Pen Brightening Eyes Makeup Eye Liner Pencil Waterproof Quick Drying Eyelid — a luxury-focused essential desi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,active
music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,02,,,,,,,,ED48C136A0694B519B1735B33BDF6BC8,50.0,shopify,continue,manual,11.89,14.9875,true,true,,,,,,,,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid product image,,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid | luxury,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid — a luxury-focused essential desi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,
music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,04,,,,,,,,87CE9EF20ABA4526A22184552E86F03A,50.0,shopify,continue,manual,11.89,14.9875,true,true,,,,,,,,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid product image,,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid | luxury,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid — a luxury-focused essential desi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,
music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,"<p>MVQueen Core introduction about luxury.</p>
<p>Describe benefits for luxury.
Describe textures and finishes.
Describe mood and emotional payoff.</p>
<p>Close with a confident, persona-aligned CTA.</p>",,,,,,,06,,,,,,,,FF0449AD6E1543688EFC0DC7484BAECB,50.0,shopify,continue,manual,11.89,14.9875,true,true,,,,,,,,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid product image,,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid | luxury,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid — a luxury-focused essential desi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,
